`20110AB48496AMD`	`Legislator`	`ASSEMBLY`	`Alejo`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 11:03:53	`Y`
`20110AB108195AMD`	`Legislator`	`ASSEMBLY`	`Ammiano`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 13:14:34	`Y`
`20110AB108195AMD`	`Legislator`	`ASSEMBLY`	`Bonilla`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 13:14:34	`N`
`20110AB108195AMD`	`Legislator`	`ASSEMBLY`	`Cedillo`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 13:14:34	`N`
`20110AB108195AMD`	`Legislator`	`ASSEMBLY`	`Eng`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 13:14:34	`N`
`20110AB108195AMD`	`Legislator`	`ASSEMBLY`	`Monning`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 13:14:34	`N`
`20110AB108195AMD`	`Legislator`	`ASSEMBLY`	`Skinner`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 13:14:34	`N`
`20110AB108195AMD`	`Legislator`	`SENATE`	`Calderon`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 13:14:34	`N`
`20110AB108195AMD`	`Legislator`	`SENATE`	`Hancock`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 13:14:34	`N`
`20110AB108195AMD`	`Legislator`	`SENATE`	`Yee`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 13:14:34	`N`
`20110AB4196AMD`	`Legislator`	`ASSEMBLY`	`Hill`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:20:49	`Y`
`20110AB155998AMD`	`Legislator`	`ASSEMBLY`	`Portantino`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:28:19	`Y`
`20110SB106799INT`	`Legislator`	`SENATE`	`La Malfa`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:29:28	`Y`
`20110SB106799INT`	`Legislator`	`ASSEMBLY`	`Nielsen`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:29:28	`N`
`20110AB168999INT`	`Legislator`	`ASSEMBLY`	`Donnelly`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:45:04	`Y`
`20110AB169099INT`	`Legislator`	`ASSEMBLY`	`Nestande`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:46:24	`Y`
`20110AB169199INT`	`Legislator`	`ASSEMBLY`	`Bonnie Lowenthal`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:47:27	`Y`
`20110AB169299INT`	`Legislator`	`ASSEMBLY`	`Wieckowski`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:48:09	`Y`
`20110AB169399INT`	`Legislator`	`ASSEMBLY`	`Hagman`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:48:44	`Y`
`20110AB169399INT`	`Legislator`	`ASSEMBLY`	`Ma`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:48:44	`N`
`20110AB169399INT`	`Legislator`	`ASSEMBLY`	`Knight`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:48:44	`N`
`20110AB169399INT`	`Legislator`	`ASSEMBLY`	`Morrell`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:48:44	`N`
`20110AB169399INT`	`Legislator`	`ASSEMBLY`	`Valadao`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:48:44	`N`
`20110AB169499INT`	`Legislator`	`ASSEMBLY`	`Fuentes`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:49:56	`Y`
`20110AB169599INT`	`Legislator`	`ASSEMBLY`	`Cook`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:51:03	`Y`
`20110AB169699INT`	`Legislator`	`ASSEMBLY`	`Cook`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:52:15	`Y`
`20110AB169799INT`	`Legislator`	`ASSEMBLY`	`Perea`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:54:01	`Y`
`20110AB169899INT`	`Legislator`	`ASSEMBLY`	`Portantino`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:55:00	`Y`
`20110AB169999INT`	`Legislator`	`ASSEMBLY`	`Torres`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:56:02	`Y`
`20110AB170099INT`	`Legislator`	`ASSEMBLY`	`Butler`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:57:07	`Y`
`20110AB170199INT`	`Legislator`	`ASSEMBLY`	`Wieckowski`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:57:53	`Y`
`20110AB170199INT`	`Legislator`	`ASSEMBLY`	`Smyth`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2012-02-15 16:57:53	`N`
