`201120120AB57`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB75`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB135`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB144`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB151`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB209`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB211`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB214`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB217`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB225`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB226`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB243`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB255`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB258`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB320`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB325`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB342`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB345`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB346`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB353`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB377`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB384`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB398`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB424`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB427`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB431`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB446`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB459`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB486`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB492`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB512`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB515`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB518`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB536`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB554`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB560`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB566`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB568`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB573`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB597`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB611`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB615`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB622`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB638`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB657`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB665`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB666`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
`201120120AB667`	`CX`	25	2011-05-04 00:00:00	`CX25`	`LEG_ESI`	2011-05-04 17:01:16
