`AD63`	`20112012`	`Morrell, Mike`	`A`	`Morrell`	`Mike`	`Morrell`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD50`	`20112012`	`Lara, Ricardo`	`A`	`Lara`	`Ricardo`	`Lara`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD45`	`20112012`	`Cedillo, Gilbert`	`A`	`Cedillo`	`Gilbert`	`Cedillo`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD14`	`20112012`	`Skinner, Nancy`	`A`	`Skinner`	`Nancy`	`Skinner`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD15`	`20112012`	`Buchanan, Joan`	`A`	`Buchanan`	`Joan`	`Buchanan`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD35`	`20112012`	`Williams, Das`	`A`	`Williams`	`Das`	`Williams`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD62`	`20112012`	`Carter, Wilmer Amina`	`A`	`Carter`	`Wilmer`	`Carter`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD17`	`20112012`	`Galgiani, Cathleen`	`A`	`Galgiani`	`Cathleen`	`Galgiani`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD10`	`20112012`	`Huber, Alyson`	`A`	`Huber`	`Alyson`	`Huber`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD30`	`20112012`	`Valadao, David G.`	`A`	`Valadao`	`David`	`Valadao`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
