`201120120AB122`	`AFLOOR`	2011-02-22 12:56:35	1035	133828	49	0	30	`(PASS)`	`LEG_ESI`	2011-02-22 16:56:11	`31`	`AF0240`	`<BR>File 31</BR><BR>AB 122 BUDGET</BR><BR>Assembly Third Reading</BR><BR>By BLUMENFIELD</BR><BR/><BR/><BR/><BR/><BR/><BR/>`	2011-02-22 00:00:00
`201120120HR7`	`CX20`	2011-02-24 00:00:00	1001	109503	10	0	1	`(PASS)`	`LEG_ESI`	2011-02-24 10:15:02	NULL	NULL	NULL	2011-02-24 00:00:00
`201120120HR1`	`AFLOOR`	2010-12-06 12:59:14	1001	133758	52	28	0	`(PASS)`	`LEG_ESI`	2010-12-06 16:26:09	`WORF`	`AF0240`	`<BR/><BR>HR 1 SKINNER</BR><BR>Assembly Third Reading</BR><BR/><BR/><BR/><BR/><BR/><BR/><BR/>`	2010-12-06 00:00:00
`201120120HR2`	`AFLOOR`	2010-12-06 13:00:56	1002	133759	80	0	0	`(PASS)`	`LEG_ESI`	2010-12-06 16:26:10	`WORF`	`AF0240`	`<BR/><BR>HR 2 PÉREZ, J.</BR><BR>Assembly Third Reading</BR><BR/><BR/><BR/><BR/><BR/><BR/><BR/>`	2010-12-06 00:00:00
`201120120HR3`	`AFLOOR`	2010-12-06 13:04:06	1003	133760	80	0	0	`(PASS)`	`LEG_ESI`	2010-12-06 16:26:11	`WORF`	`AF0240`	`<BR/><BR>HR 3 PÉREZ, J.</BR><BR>Assembly Third Reading</BR><BR/><BR/><BR/><BR/><BR/><BR/><BR/>`	2010-12-06 00:00:00
`201120120SCR1`	`AFLOOR`	2010-12-06 13:27:28	1004	133761	80	0	0	`(PASS)`	`LEG_ESI`	2010-12-06 16:26:12	`WORF`	`AF0250`	`<BR>W/O Reference to File</BR><BR>SCR 1 Steinberg</BR><BR>Senate Third Reading</BR><BR/><BR/><BR/><BR/><BR/><BR/><BR/>`	2010-12-06 00:00:00
`201120120ACR5`	`CX20`	2011-01-18 00:00:00	1001	109503	11	0	0	`(PASS)`	`LEG_ESI`	2011-01-18 13:15:04	NULL	NULL	NULL	2011-01-18 13:15:04
`201120120ACR3`	`CX20`	2011-01-18 00:00:00	1001	109503	11	0	0	`(PASS)`	`LEG_ESI`	2011-01-18 13:15:04	NULL	NULL	NULL	2011-01-18 13:15:04
`201120120SCR3`	`SFLOOR`	2011-01-20 10:55:00	1001	133762	32	0	6	`(PASS)`	`LEG_ESI`	2011-01-20 11:10:06	`2`	`Senate 3rd Reading`	`<BR>F# 2</BR><BR>Senate 3rd Reading</BR><BR>SCR3</BR><BR>Price</BR><BR/><BR/>`	2011-01-20 00:00:00
`201120120SCR1`	`SFLOOR`	2010-12-06 12:48:00	1006	15249	37	0	1	`(PASS)`	`LEG_ESI`	2011-01-24 22:20:02	`WORF`	`W/O REF. TO FILE`	`<BR/><BR>W/O REF. TO FILE</BR><BR>SCR1</BR><BR/><BR/><BR/>`	2010-12-06 00:00:00
`201120120SR7`	`SFLOOR`	2011-01-27 09:18:00	1001	133764	31	0	7	`(PASS)`	`LEG_ESI`	2011-01-27 10:11:03	`WORF`	`W/O REF. TO FILE`	`<BR/><BR>W/O REF. TO FILE</BR><BR>SR7</BR><BR>Harman</BR><BR/><BR/>`	2011-01-27 00:00:00
`201120120SB69`	`SFLOOR`	2011-02-14 14:15:00	1001	133765	22	2	14	`(PASS)`	`LEG_ESI`	2011-02-14 14:46:02	`2`	`Senate 3rd Reading`	`<BR>F# 2</BR><BR>Senate 3rd Reading</BR><BR>SB69    Committee on</BR><BR>B. & F.R. (Leno)</BR><BR/><BR/>`	2011-02-14 00:00:00
`201120120ACR2`	`CX20`	2011-02-10 00:00:00	1001	109503	10	0	1	`(PASS)`	`LEG_ESI`	2011-02-14 14:15:02	NULL	NULL	NULL	2011-02-10 00:00:00
